Abbr,State,GitHub,Population,Dev per 1000 inhab.
DC,District of Columbia,2709,646449,4.19
WA,Washington,11798,6971406,1.69
NY,New York,25714,19651127,1.31
MA,Massachusetts,8365,6692824,1.25
CO,Colorado,6015,5268367,1.14
CA,California,37265,38332521,0.97
UT,Utah,2626,2900872,0.91
VT,Vermont,480,626630,0.77
NH,New Hampshire,787,1323459,0.59
MN,Minnesota,3068,5420380,0.57
VA,Virginia,4695,8260405,0.57
RI,Rhode Island,574,1051511,0.55
KS,Kansas,1582,2893957,0.55
MT,Montana,497,1015165,0.49
GA,Georgia,4551,9992167,0.46
MD,Maryland,2733,5928814,0.46
TX,Texas,12049,26448193,0.46
AZ,Arizona,2973,6626624,0.45
NC,North Carolina,4294,9848060,0.44
OR,Oregon,1697,3930065,0.43
LA,Louisiana,1966,4625470,0.43
ME,Maine,559,1328302,0.42
SC,South Carolina,1962,4774839,0.41
WI,Wisconsin,2362,5742713,0.41
PA,Pennsylvania,5152,12773801,0.4
HI,Hawaii,562,1404054,0.4
NE,Nebraska,746,1868516,0.4
AK,Alaska,288,735132,0.39
IA,Iowa,1175,3090416,0.38
MI,Michigan,3803,9895622,0.38
GU,Guam,59,159358,0.37
TN,Tennessee,2433,6495978,0.37
NV,Nevada,1011,2790136,0.36
CT,Connecticut,1251,3596080,0.35
OH,Ohio,4107,11570808,0.35
MO,Missouri,2134,6021988,0.35
FL,Florida,6525,18801310,0.35
NJ,New Jersey,2869,8899339,0.32
NM,New Mexico,619,2085287,0.3
OK,Oklahoma,1113,3850568,0.29
VI,Virgin Islands,24,106405,0.23
AL,Alabama,1092,4833722,0.23
KY,Kentucky,974,4395295,0.22
ND,North Dakota,158,723393,0.22
SD,South Dakota,177,844877,0.21
AR,Arkansas,503,2959373,0.17
MS,Mississippi,428,2991207,0.14
WY,Wyomin,73,582658,0.13
WV,West Virginia,232,1854304,0.13
DE,Delaware,120,925749,0.13
IN,Indiana,702,6570902,0.11
PR,Puerto Rico,289,3725789,0.08
ID,Idaho,776,11612136,0.07
IL,Illinois,6121,112882135,0.05
AS,American Samoa,1,55519,0.02
